title,price,mileage,dealer_name
2010 Lexus GS 350 ,"$13,995","93,536 mi.",Seabreeze Ford
2018 Lexus GS 350 Base,"$38,999","45,287 mi.",Six Stars Auto Sales Inc
2015 Lexus GS 350 Base,"$23,999","90,428 mi.",Six Stars Auto Sales Inc
2018 Lexus GS 350 F Sport,"$26,800","60,847 mi.",Certified Luxury Motors of Valley Stream
2015 Lexus GS 350 Crafted Line,"$26,650","82,147 mi.",Beverly Hills Auto Group
2019 Lexus GS 350 F Sport,"$29,995","52,952 mi.",Franklin Square Auto Group
2020 Lexus GS 350 F Sport,"$45,500","5,650 mi.",Lexus of Freeport
2014 Lexus GS 350 Base,"$22,698","76,313 mi.",The Highline Group
2016 Lexus GS 350 Base,"$32,644","44,408 mi.",Superstition Springs Lexus
2016 Lexus GS 200t F Sport,"$24,577","97,133 mi.",Legend Auto Sales
2007 Lexus GS 350 Base,"$8,995","171,333 mi.",Urban Motors
2015 Lexus GS 350 ,"$27,998","20,333 mi.",CarMax Palmdale - Offering Express Pickup and Home Delivery
2013 Lexus GS 350 Base,"$19,998","98,000 mi.",CarMax Palmdale - Offering Express Pickup and Home Delivery
2015 Lexus GS 350 Base,"$20,995","101,554 mi.",Toyota of San Bernardino
2016 Lexus GS 200t ,"$18,995","99,372 mi.",Unique Auto Center
2013 Lexus GS 350 Base,"$19,525","92,438 mi.",California Motors Direct - Montclair
2013 Lexus GS 350 Base,"$19,999","99,886 mi.",California Motor Trade 3
2007 Lexus GS 350 ,"$9,995","112,451 mi.","Mountain Motors, Inc"
2018 Lexus GS 350 Base,"$26,797","72,256 mi.",Lake Elsinore Honda
2014 Lexus GS 350 Base,"$14,987","133,641 mi.",Karplus Warehouse Inc.
2010 Lexus GS 350 Base,"$11,000","79,000 mi.",
2008 Lexus GS 350 ,"$24,899","21,176 mi.",Pacific West Imports
2018 Lexus GS 350 F Sport,"$28,981","84,219 mi.",Auto Republic Fullerton
2016 Lexus GS 200t ,"$22,962","68,888 mi.",AutoNation INFINITI Tustin
2013 Lexus GS 350 Base,"$18,999","92,043 mi.",AutoNation Toyota Cerritos
2015 Lexus GS 350 ,"$22,999","59,450 mi.",AutoNation Toyota Cerritos
2013 Lexus GS 350 Base,"$16,599","119,196 mi.",AutoNation Toyota Irvine
2010 Lexus GS 350 ,"$12,998","124,614 mi.",Hi Auto Sales INC.
2015 Lexus GS 350 Crafted Line,"$18,995","131,895 mi.",Deluxe Auto Dealer
2014 Lexus GS 350 Base,"$15,995","168,030 mi.",Deluxe Auto Dealer
2015 Lexus GS 350 Crafted Line,"$21,995","74,439 mi.",Deluxe Auto Dealer
2015 Lexus GS 350 Crafted Line,"$17,995","126,435 mi.",Deluxe Auto Dealer
2013 Lexus GS 350 Base,"$13,995","175,283 mi.",Deluxe Auto Dealer
2015 Lexus GS 350 Crafted Line,"$19,987","84,288 mi.",CAR LUX
2018 Lexus GS 350 GS 350 F SPORT Sedan 4D,"$34,990","41,669 mi.",Nash Auto
2017 Lexus GS 350 GS 350,"$30,499","41,017 mi.",Lexus of Marin
2006 Lexus GS 430 Base,"$6,500","201,000 mi.",
